file_name,title,url,title_clean
AC_01.pdf,1850 [Announcement],http://archives.nd.edu/bulletin/AC_01.pdf,1850-Announcement
AC_02.pdf,1851 [Announcement],http://archives.nd.edu/bulletin/AC_02.pdf,1851-Announcement
AC_03.pdf,1853 Calendar,http://archives.nd.edu/bulletin/AC_03.pdf,1853-Calendar
AC_04.pdf,1854/1855 Catalogue,http://archives.nd.edu/bulletin/AC_04.pdf,1854-1855-Catalogue
AC_05.pdf,1855/1856 Catalogue,http://archives.nd.edu/bulletin/AC_05.pdf,1855-1856-Catalogue
AC_07.pdf,1856/1857 Catalogue (First Session),http://archives.nd.edu/bulletin/AC_07.pdf,1856-1857-Catalogue-First-Session
AC_08.pdf,1856/1857 Catalogue,http://archives.nd.edu/bulletin/AC_08.pdf,1856-1857-Catalogue
AC_14.pdf,1857/1858 Catalogue (14th Annual),http://archives.nd.edu/bulletin/AC_14.pdf,1857-1858-Catalogue-14th-Annual
AC_15.pdf,1858/1859 Catalogue (15th Annual),http://archives.nd.edu/bulletin/AC_15.pdf,1858-1859-Catalogue-15th-Annual
AC_16.pdf,1859/1860 Catalogue (16th Annual),http://archives.nd.edu/bulletin/AC_16.pdf,1859-1860-Catalogue-16th-Annual
AC_17.pdf,1860/1861 Catalogue (17th Annual),http://archives.nd.edu/bulletin/AC_17.pdf,1860-1861-Catalogue-17th-Annual
AC_18.pdf,1861/1862 Catalogue (18th Annual),http://archives.nd.edu/bulletin/AC_18.pdf,1861-1862-Catalogue-18th-Annual
AC_19.pdf,1862/1863 Catalogue (19th Annual),http://archives.nd.edu/bulletin/AC_19.pdf,1862-1863-Catalogue-19th-Annual
AC_20.pdf,1863/1864 Catalogue (20th Annual),http://archives.nd.edu/bulletin/AC_20.pdf,1863-1864-Catalogue-20th-Annual
AC_21.pdf,1864/1865 Catalogue (21st Annual),http://archives.nd.edu/bulletin/AC_21.pdf,1864-1865-Catalogue-21st-Annual
AC_22.pdf,1865/1866 Catalogue (22nd Annual),http://archives.nd.edu/bulletin/AC_22.pdf,1865-1866-Catalogue-22nd-Annual
AC_23.pdf,1866/1867 Catalogue (23rd Annual),http://archives.nd.edu/bulletin/AC_23.pdf,1866-1867-Catalogue-23rd-Annual
AC_24.pdf,1867/1868 Catalogue (24th Annual),http://archives.nd.edu/bulletin/AC_24.pdf,1867-1868-Catalogue-24th-Annual
