file_names,doc_title,url
VOL_0012_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 12, No. 07 -- April 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0007.pdf
VOL_0012_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 12, No. 08 -- May 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0008.pdf
VOL_0012_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 12, No. 09 -- June 1934",http://www.archives.nd.edu/Alumnus/VOL_0012/VOL_0012_ISSUE_0009.pdf
VOL_0013_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 13, No. 01 -- October 1934",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0001.pdf
VOL_0013_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 13, No. 02 -- November 1934",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0002.pdf
VOL_0013_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 13, No. 03 -- December 1934",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0003.pdf
VOL_0013_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 13, No. 04 -- January 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0004.pdf
VOL_0013_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 13, No. 05 -- February 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0005.pdf
VOL_0013_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 13, No. 06 -- March 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0006.pdf
VOL_0013_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 13, No. 07 -- April 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0007.pdf
VOL_0013_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 13, No. 08 -- May 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0008.pdf
VOL_0013_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 13, No. 09 -- June 1935",http://www.archives.nd.edu/Alumnus/VOL_0013/VOL_0013_ISSUE_0009.pdf
VOL_0014_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 14, No. 01 -- October 1935",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0001.pdf
VOL_0014_ISSUE_0002.pdf,"Notre Dame Alumnus Vol. 14, No. 02 -- November 1935",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0002.pdf
VOL_0014_ISSUE_0003.pdf,"Notre Dame Alumnus Vol. 14, No. 03 -- December 1935",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0003.pdf
VOL_0014_ISSUE_0004.pdf,"Notre Dame Alumnus Vol. 14, No. 04 -- January 1936",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0004.pdf
VOL_0014_ISSUE_0005.pdf,"Notre Dame Alumnus Vol. 14, No. 05 -- February 1936",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0005.pdf
VOL_0014_ISSUE_0006.pdf,"Notre Dame Alumnus Vol. 14, No. 06 -- March 1936",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0006.pdf
VOL_0014_ISSUE_0007.pdf,"Notre Dame Alumnus Vol. 14, No. 07 -- April 1936",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0007.pdf
VOL_0014_ISSUE_0008.pdf,"Notre Dame Alumnus Vol. 14, No. 08 -- May 1936",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0008.pdf
VOL_0014_ISSUE_0009.pdf,"Notre Dame Alumnus Vol. 14, No. 09 -- June 1936",http://www.archives.nd.edu/Alumnus/VOL_0014/VOL_0014_ISSUE_0009.pdf
VOL_0015_ISSUE_0001.pdf,"Notre Dame Alumnus Vol. 15, No. 01 -- October 1936",http://www.archives.nd.edu/Alumnus/VOL_0015/VOL_0015_ISSUE_0001.pdf
